PMID,DB.ID,REF.SENTENCE,ASSOCIATION.CLASS
30500566,id175670,"Therefore, the imbalance of APP processing may be involved with the negative correlation between cancer and Alzheimer Disease.",A
30471088,id175671,"Despite clear evidence of a neuroprotective physiological role of amyloid precursor protein (APP) and its non-amyloidogenic processing products, APP has been investigated mainly in animal and cellular models of amyloid pathology in the context of Alzheimer's disease.",X
30471088,id175672,"The rare familial mutations in APP and presenilin-1/2, which sometimes drive increased amyloid β (Aβ) production, may have unduly influenced Alzheimer's disease research.",A
30471088,id175673,"In doing so, we aim to invigorate research and discussion around non-amyloidogenic APP processing products and the mechanisms linking mitochondria and complex neurodegenerative disorders such as sporadic Alzheimer's disease.",X
28870521,id175674,"Alzheimer's disease (AD) may affect in excess of 90% of individuals with Down syndrome (DS) after age 60, due to duplication of the APP gene in trisomy of chromosome 21, with neuropathology that is comparable to Sporadic AD and Familial AD (FAD).",A
28556232,id175675,We investigated the association of Alzheimer's disease (AD)-related rare variants APP A673T and ABCA7 rs200538373-C with the levels of β-amyloid (Aβ) and parameters of metabolic and cardiovascular health in a population-based cohort of healthy middle-aged and elderly men.,X
28320515,id175676,The mitochondrial localization and interaction with APP (β-amyloid precursor protein) suggest that HMGCS2 may play a role in the pathophysiology of AD (Alzheimer's disease).,A
28304299,id175677,"According to the literature, the APP Ala713Thr mutation is associated with Alzheimer's disease and cerebral amyloid angiopathy.",Y
28281673,id175678,"Assessing BACE1 (β-site APP cleaving enzyme 1) knockout mice for general health and neurological function may be useful in predicting risks associated with prolonged pharmacological BACE1 inhibition, a treatment approach currently being developed for Alzheimer's disease.",A
28192196,id175679,"The method is useful for identifying the defective APP-mRNA isoform in LND patients, and in neurodevelopmental and neurodegenerative disorders in which the APP gene is involved in the pathogenesis of diseases such as autism, fragile X syndrome, amyotrophic lateral sclerosis, and Alzheimer's disease, and may pave the way for new strategies applicable to rational antisense drugs design.",A
27715386,id175680,"In this study, we investigated the role of BECN1 (Beclin 1) in the degradative trafficking of PM-associated APP (amyloid β precursor protein), whose metabolism to amyloid-β, an essential event in Alzheimer disease, is dependent on divergent PM trafficking pathways.",X
27777022,id175681,We aimed to characterise clinical phenotypes and genetic associations with APP and PSEN1 mutations in symptomatic autosomal dominant familial Alzheimer's disease (ADAD).,X
27580372,id175682,We uncover and exploit substrate cleavage preferences dictated by these three pockets to investigate the mechanism by which familial Alzheimer's disease mutations within APP increase the production of pathogenic Aβ species.,X
27563067,id175683,We conclude that RHBDL4-mediated APP processing provides insight into APP and rhomboid physiology and qualifies for further investigations to elaborate its impact on Alzheimer disease pathology.,X
26768426,id175684,"In addition, we analyzed 5XFAD mice, exhibiting five mutations in the APP and presenilin genes related to familial Alzheimer's disease (FAD), to validate specific regulatory response of Rab7a, Rab9, tau, and phosphorylated form of tau by immunostaining 5XFAD mice in comparison with the wild-type age-matched mice brain.",X
26733247,id175685,"In this study, the effect of astrocytic overexpression of a mutant APP on the excitatory synaptic transmission was investigated using coculture system of the transgenic (Tg) cortical astrocytes that express the human APP695 polypeptide with the double mutation K670N + M671L found in a large Swedish family with early onset Alzheimer's disease, and wild-type hippocampal neuron.",X
26216398,id175686,"These data suggest that altered APP processing, as observed in Alzheimer's disease, may disrupt PI(3,5)P2 metabolism, endosomal sorting and homeostasis with important implications for our understanding of the mechanism of neurodegeneration in Alzheimer's disease.",A
25639959,id175687,"Familial Alzheimer's disease (FAD) resulting from gene mutations in PSEN1, PSEN2 and APP is associated with changes in the brain.",Y
25466238,id175688,"Our study suggests that UCHL1 may delay Alzheimer's progression by regulating APP degradation in a long-term fashion, and that overexpression of UCHL1 may be a safe and effective disease-modifying strategy to treat AD.",A
24625695,id175689,"These results suggest that disproportionate amyloid-β₄₂ accumulation in cortical areas in sporadic Alzheimer's disease may be mediated by synaptic processes, whereas disproportionate amyloid-β₄₂ accumulation in subcortical areas in familial Alzheimer's disease may be driven by APP and its processing.",A
24117942,id175690,The amyloid precursor protein (APP) I716F mutation is associated with autosomal dominant Alzheimer's disease with the youngest age-at-onset for the APP locus.,Y
23648941,id175691,"This suggests that some cases of Alzheimer disease, those which have been associated with high expression of the APP gene, may involve Ras signal transduction.",A
22801501,id175692,"Here, to search for low-frequency variants in the amyloid-β precursor protein (APP) gene with a significant effect on the risk of Alzheimer's disease, we studied coding variants in APP in a set of whole-genome sequence data from 1,795 Icelanders.",X
22801501,id175693,The strong protective effect of the A673T substitution against Alzheimer's disease provides proof of principle for the hypothesis that reducing the β-cleavage of APP may protect against the disease.,A
22734645,id175694,"The present study identified LRP10 as a novel APP sorting receptor that protects APP from amyloidogenic processing, suggesting that a decrease in LRP10 function may contribute to the pathogenesis of Alzheimer's disease.",A
22709352,id175695,Our findings indicate that locomotor hyperactivity displayed by the tet-off APP transgenic mice and several other transgenic models of Alzheimer's disease may result from overexpression of mutant APP during postnatal brain development.,A
22700814,id175696,To investigate the particular pathology of the Arctic APP (APParc) early-onset familial Alzheimer disease (eoFAD) mutation for the first time in vivo with PET in comparison with other eoFAD mutations and sporadic Alzheimer disease (sAD).,X
22450047,id175697,"Here we have investigated the interactions and surface trafficking of NR1-1a/NR2A and NR1-1a/NR2B NMDA receptor subtypes with three APP mutations linked to familial Alzheimer's disease, APP695(Indiana), APP695(London) and APP695(Swedish).",X
22355143,id175698,Our findings suggest that an autoinhibitory mechanism in Mint1 is important for regulating APP processing and may provide novel therapies for Alzheimer's disease.,A
22315232,id175699,"In Alzheimer disease, oligomeric amyloid β-peptide (Aβ) species lead to synapse loss and neuronal death. γ-Secretase, the transmembrane protease complex that mediates the final catalytic step that liberates Aβ from its precursor protein (APP), has a multitude of substrates, and therapeutics aimed at reducing Aβ production should ideally be specific for APP cleavage.",X
21642435,id175700,We investigated whether these oligosaccharides interact with Aβ during APP processing and plaque formation. anMan immunoreactivity was detected in amyloid plaques of Alzheimer (AD) and APP transgenic (Tg2576) mouse brains by immunofluorescence microscopy.,X
21415543,id175701,"Since Fe65 has been shown to suppress APP processing to amyloid β (Aβ) production, our findings may provide a new insight into the molecular mechanism by which DNA damage induces Aβ production and subsequent neuronal cell death in Alzheimer's disease (AD).",A
21196064,id175702,"The aim of this exploratory investigation was to determine if genetic variation within amyloid precursor protein (APP) or its processing enzymes correlates with APP cleavage product levels: APPα, APPβ or Aβ42, in cerebrospinal fluid (CSF) of cognitively normal subjects or Alzheimer's disease (AD) patients.",X
21182826,id175703,"The amyloid-β precursor protein (APP) was shown to be O-GlcNAcylated 15 years ago, but the effect of this modification on APP processing and formation of the Alzheimer's disease associated amyloid-β (Aβ) peptide has so far not been investigated.",X
21167219,id175704,"A balance between the proteolytic processing of amyloid precursor protein APP through the amyloidogenic and the non-amyloidogenic pathways controls the production and release of amyloid β-protein, whose accumulation in the brain is associated to the onset of Alzheimer Disease.",Y
20656006,id175705,"The data obtained indicate that VEGF-driven mechanisms may affect APP processing, suggesting a link of angiogenesis and pathogenesis of Alzheimer's disease.",A
20164582,id175706,"Several studies have shown that reduced amyloid-beta 1-42 (Abeta(42)) and increased tau levels in cerebrospinal fluid (CSF) reflect increased Alzheimer's disease (AD) pathology in the brain. beta-site APP cleaving enzyme (BACE1) is thought to be the major beta-secretase involved in Abeta production in the brain, and therefore we investigated the relation between BACE1 activity and CSF markers Abeta(40), Abeta(42), total tau (t-tau), and tau phosphorylated at threonine 181 (p-tau) in CSF of control (n=12), mild cognitive impairment (n=18), and AD (n=17) subjects.",X
19860724,id175707,"This datum may be of high relevance for a better understanding of Alzheimer's Disease (AD) since molecular, cellular, and animal model studies have revealed that the formation of amyloid beta (Abeta) and other derivatives of the APP are key pathogenic factors in AD, causing mitochondrial dysfunction, free radical generation, oxidative damage, and inflammation.",A
19765582,id175708,"Combined with previous findings of direct inhibition of AChE and BACE-1 by this dimer, this work indicates that strategy may have potential to provide new insights into designing novel drugs that target multiple steps of aberrant APP processing to treat Alzheimer's disease.",A
19589380,id175709,"The data demonstrate that VEGF may affect APP processing, at least in vitro, suggesting a role of VEGF in the pathogenesis of Alzheimer's disease.",A
19501042,id175710,"Neurotoxic beta-amyloid (Abeta) peptides participate in Alzheimer's disease (AD); therefore, reduction of Abeta generated from APP may provide a therapeutic approach for AD.",A
19334058,id175711,"In addition, the results argue that the interaction between APP and p75(NTR) may represent a therapeutic target in Alzheimer's disease.",A
19267423,id175712,"In this study, we examined the relationship between Rac1 and amyloid precursor protein (APP), because the abnormal proteolytic processing of APP is a pathologic feature of Alzheimer's disease.",X
19118172,id175713,These results suggest that the three Mint/X11 proteins regulate Abeta production by a novel mechanism that may have implications for therapeutic approaches to altering APP cleavage in Alzheimer's disease.,A
19058878,id175714,"In order to investigate adhesion-related changes in inflamed vasculature, brains from apolipoprotein E(-/-) (apoE(-/-)) mice were examined for changes related to APP then compared to human Alzheimer's disease (AD) brains.",X
18650433,id175715,"Proteolytic cleavage of APP has been investigated as a candidate target for Alzheimer disease therapy, but the mechanisms regulating APP metabolism are still unclear.",X
18413473,id175716,"Most of these mutations may also cause cognitive impairment, but the Arctic APP mutation is the only known intra-beta-amyloid mutation to date causing the more typical clinical picture of Alzheimer disease.",A
18322381,id175717,"We found that human neural progenitor cells (HNPCs) exposed to high concentrations of amyloid precursor protein (APP) or transplanted into APP transgenic mice (APP23) primarily differentiated into astrocytes, suggesting that pathological alterations of APP processing in Alzheimer's disease (AD) may prevent neuronal differentiation of HNPCs.",A
18030462,id175718,We thus predict that disruption of APP dimers may be a novel therapeutic approach to treat Alzheimer's disease.,A
17714184,id175719,"Here, we examined the effects of DHA on amyloid precursor protein (APP) processing in cellular models of Alzheimer's disease by analysing levels of different APP fragments, including amyloid-beta (Abeta).",X
17640880,id175720,"In a previous study, we found that human neural stem cells (HNSCs) exposed to high concentrations of secreted amyloid-precursor protein (sAPP) in vitro differentiated into mainly astrocytes, suggesting that pathological alterations in APP processing during neurodegenerative conditions such as Alzheimer's disease (AD) may prevent neuronal differentiation of HNSCs.",A
17627487,id175721,The measurement of total brain Abeta lowering in a common mouse strain could help accelerate drug discovery programs for Alzheimer's disease without relying on costly transgenic animals that overexpress APP in a manner that may not be predictive of the effects of these compounds in human AD.,A
17594192,id175722,"Both enantiomers are equipotent in downregulating APP expression. (+)-Posiphen may be a promising drug, either alone or in combination with (-)-phenserine, to attenuate the progression of Alzheimer's disease.",A
17336088,id175723,These data demonstrate that LXR agonists do not directly inhibit APP processing but rather facilitate the clearance of Abeta42 and may represent a novel therapeutic approach to Alzheimer's disease.,A
17047360,id175724,"Thus, changes in APP and tau expression may cause perturbed axonal transport and changes in APP processing, contributing to cognitive decline and neurodegeneration in Alzheimer's disease.",A
16921174,id175725,"Our findings corroborated a recent French study, and indicated that investigating genomic duplications in the APP locus in families segregating Alzheimer's disease and CAA should be considered.",X
16908990,id175726,"The occurrence of consensus phosphorylation sites in the intracellular domain of the Alzheimer's amyloid precursor protein (APP), coupled with observations of their in vivo phosphorylation, prompted several workers to investigate the effects that phosphorylation of such sites could have on APP metabolism and subsequent Abeta production.",X
16645451,id175727,"Because altered processing of APP leading to accumulation of Abeta is a key event in the pathogenesis of Alzheimer disease, these findings may have implications for use of this anesthetic agent in individuals with excessive levels of cerebral Abeta and elderly patients at increased risk for postoperative cognitive dysfunction.",A
16187206,id175728,"Here we studied the expression, enzymatic activity and subcellular localization of PEP in adult and aged mouse brain as well as in brains of age-matched APP transgenic Tg2576 mice and in brains of Alzheimer's disease patients.",X
15659815,id175729,The signaling through APP and its CTFs may have significant relevance for apoptotic cell death in Alzheimer's disease.,A
15582280,id175730,"A growing body of evidence indicates that dysregulation of cerebral biometals (Fe, Cu, Zn) and their interactions with APP and Abeta amyloid may contribute to the Alzheimer's amyloid pathology, and thus metal chelation could be a rational therapeutic approach for interdicting AD pathogenesis.",A
15363602,id175731,These observations defined the frame of our work aimed to investigate if a correlation between levels of platelet APP forms and Alzheimer disease could be detected.,X
15201367,id175732,The production and accumulation of mutated Abeta (Asn7-Abeta) or the misfunction of D678N mutant APP may have pathogenic properties for the development of Alzheimer's disease in this pedigree.,A
14985339,id175733,Copper-regulated APP expression may also provide a potential therapeutic target in Alzheimer's disease.,A
12972252,id175734,"Although APP mutations associated with inherited forms of Alzheimer's disease (AD) are relatively rare, detailed studies of these mutations may prove critical for gaining important insights into the mechanism(s) and etiology of AD.",A
12970358,id175735,"To investigate the in vivo effect of X11alpha on Abeta production in the brain, we created transgenic mice that overexpress X11alpha and crossed these with transgenics harboring a familial Alzheimer's disease mutant APP that produces increased levels of Abeta (APPswe Tg2576 mice).",X
12495166,id175736,"The growing body of knowledge regarding the processing of APP to various forms of Abeta has resulted in new approaches to the investigation of putative anti-Alzheimer's disease compounds, including immune-based therapies and various agents that can positively affect APP processing.",X
12472467,id175737,"Mutations in APP impair its function to confer resistance to apoptosis in cells under stress, and this may contribute to neurodegeneration in Alzheimer's disease (AD) brain, but the mechanisms involved are unknown.",A
12470805,id175738,"The neurobiology of Alzheimer disease includes changes that may initially be adaptive but can become excessive and thereby harmful; they include increased expression of APP with accumulation of potentially damaging peptides such as Abeta, inflammation, and increased ROS activity.",A
12052175,id175739,"As the alpha-secretase cleavage of APP both precludes the deposition of the amyloid beta peptide and releases the neuroprotective sAPP(alpha), pharmacological up-regulation of alpha-secretase may provide alternative therapeutic approaches for Alzheimer s disease.",A
12032152,id175740,"Thus, gamma secretase cleavage of APP may contribute to Alzheimer's disease-related neurodegeneration in two ways: release of amyloid-beta and liberation of a bioactive carboxyl-terminal domain from membrane-bound APP.",A
12007670,id175741,Alzheimer disease (AD) is associated with a decreased APP forms ratio (APPr) between the three major forms.,Y
11901170,id175742,"The data suggests a linkage between tau and APP trafficking, which may be significant in Alzheimer's disease.",A
11848684,id175743,"Demonstration that cleavage of both APP and Notch are dependent on the product of the early onset Alzheimer's disease gene, presenilin-1 (PS1), has raised the possibility that Notch function may be altered in AD.",A
11536196,id175744,"While the amyloidogenic processing of APP in neurons is linked to the pathogenesis of Alzheimer's disease (AD), the expression of TACE in neurons has not yet been examined.",X
11447837,id175745,A greater understanding of the factors that influence APP processing may assist in the design of effective therapeutic agents to halt progression of Alzheimer's disease.,A
11378241,id175746,"Both APP and PS-1 are causal genes for early-onset familial Alzheimer's disease (AD) and their mutation effects on cerebral Abeta deposition in the senile plaques were examined in human brains of 29 familial AD (23 PS-1, 6 APP) cases and 14 sporadic AD cases in terms of Abeta40 and Abeta42.",X
11193162,id175747,"Since APP holoprotein can be amyloidogenic, while APPs may be neurotrophic, our findings suggest that some neuroimmunophilin ligands, NSAIDs and COX-2 inhibitors might suppress amyloid formation and enhance neuronal regeneration in Alzheimer's disease.",A
11162589,id175748,"These results add to a growing body of evidence that PKC epsilon plays an important role in modulating APP processing, and suggest that reduced PKC epsilon activity may contribute to the development of Alzheimer's disease.",A
11113538,id175749,These results suggest that positive-negative epitope-tagged beta APP is normally processed within the cell and may be used to identify secretase inhibitors as therapeutics for Alzheimer's disease.,A
11033334,id175750,These observations defined the frame of our work aimed to investigate if a correlation between levels of platelet APP forms and Alzheimer disease could be detected.,X
10101252,id175751,"We investigated whether alterations in PKC and PKC-mediated APP processing occur also in fibroblasts established from individuals with familial Alzheimer's disease APP KM670/671NL, PS1 M146V and H163Y mutations.",X
9951631,id175752,"Nearly a decade after the identification of the Alzheimer amyloid precursor protein (APP) gene several groups of investigators have created transgenic mice expressing APP that simulate some of the prominent behavioral and pathological features of Alzheimer's disease (Quon et al., 1991; Games et al., 1995; Hsiao et al., 1995, 1996; Moechars et al., 1996; Sturchler-Pierrat et al., 1997).",X
9748217,id175753,"Thus, these intracellular compartments may be key sites of amyloidogenic APP metabolism and Alzheimer's disease pathogenesis.",A
9632729,id175754,"The effects of dietary cholesterol on brain amyloid precursor protein (APP) processing were examined using an APP gene-targeted mouse, genetically humanized in the amyloid beta-peptide (Abeta) domain and expressing the Swedish familial Alzheimer's disease mutations.",X
9614075,id175755,X11alpha may be involved in APP trafficking and metabolism in neurons and thus may be implicated in amyloidogenesis in normal aging and Alzheimer's disease brain.,A
9572591,id175756,"Using the polymerase chain reaction, we analyzed the segregation of the ACT and ApoE polymorphisms in familial Alzheimer's disease (FAD) patients carrying mutations in Presenilin (PS) and APP genes and in both early onset (EO) and late onset (LO) FAD patients without known mutations.",X
9540849,id175757,"Since A beta production is affected by presenilin-1 (PS-1) mutations, we investigated whether basal APP levels or response to heat shock were altered in lymphoblastoid cell lines from 8 PS-1 mutation-bearers and 9 control members of Alzheimer's disease families.",X
9506555,id175758,"This case further supports the hypothesis that Alzheimer's disease is associated with trisomy for proximal chromosome 21q, including the APP gene.",Y
9389585,id175759,"The APP and PS-1 gene products may be involved in the aetiology of the more common late onset form of Alzheimer's disease, where increasing age is a major risk factor.",A
9168112,id175760,"Although most of the molecular mechanisms involving beta-amyloid and APP in the aetiology of Alzheimer's disease are still unclear, changes in APP metabolism may be important in the pathogenesis of the disease.",A
9037522,id175761,"Since A beta accumulation can be triggered by factors acting up- or downstream of APP processing, we investigated whether APP mRNA expression was altered in Alzheimer's disease post-mortem cerebral cortex.",X
9037522,id175762,"In summary, these results indicate that Alzheimer's disease is not associated with over-expression of either APP or APLP2 mRNA.",N
8863493,id175763,"Proteolytic cleavage of beta-amyloid precursor protein (beta APP) by alpha-secretase results in release of one secreted form (sAPP) of APP (sAPP alpha), whereas cleavage by beta-secretase releases a C-terminally truncated sAPP (sAPP beta) plus amyloid beta-peptide (A beta). beta APP mutations linked to some inherited forms of Alzheimer's disease may alter its processing such that levels of sAPP alpha are reduced and levels of sAPP beta increased. sAPP alpha s may play important roles in neuronal plasticity and survival, whereas A beta can be neurotoxic. sAPP alpha was approximately 100-fold more potent than sAPP beta in protecting hippocampal neurons against excitotoxicity, A beta toxicity, and glucose deprivation.",A
8741133,id175764,We investigated point mutations of the APP gene in 66 patients with sporadic Alzheimer's disease (AD) and 180 normal individuals by use of the PCR (polymerase chain reaction) method.,X
8913330,id175765,We propose that the age-associated decline in DHEA levels may be related to the pathological APP metabolism observed in Alzheimer's disease.,A
8529119,id175766,The identification of a specific phosphatase type in the control of APP secretion opens new avenues to the development of rational therapeutic intervention strategies aimed at the prevention and/or treatment of Alzheimer's Disease.,X
8746452,id175767,This is the first report of an epigenetic defect in an Alzheimer's disease patient and the observation suggests that hypomethylation of the APP gene may be one of several factors contributing to aberrant gene expression in Alzheimer's disease.,A
7700569,id175768,The expression of the carboxyl-terminal 100 (C-100) residues of the amyloid precursor protein (APP) may provide a model for studying the processing of APP to the 42-43 residue beta-amyloid peptide (beta A4) implicated in Alzheimer's disease.,A
8163989,id175769,"The data from this study support proposals that increased expression of beta APP is part of an acute phase response to neuronal injury in the human brain, that extensive overexpression of beta APP can lead to deposition of beta AP and the initiation of an Alzheimer disease-type process within days, and that head injury may be an important aetiological factor in Alzheimer's disease.",A
8267600,id175770,"These results, which represent a first demonstration of significant human APP expression in transgenic animals, support the use of such animals to study human APP expression and processing in vivo and possibly as models for the amyloidosis associated with Alzheimer disease.",Y
7678853,id175771,"To address this issue, corpus striatum (containing almost exclusively diffuse plaques) and cerebral cortex (containing an admixture of plaque types) from patients with Alzheimer's disease (AD) were examined immunohistochemically with antibodies to domain-specific sites of APP (N-terminal, C-terminal, beta A4-related, isoform-specific, and other epitopes).",X
1472995,id175772,Thus the proteolytic processing of APP may generate fragments that contribute to both amyloids and both histopathologic lesions of Alzheimer's disease.,A
1402900,id175773,The availability of purified human brain APP will facilitate the investigation of its normal function and the events that lead to its abnormal cleavage in patients with Alzheimer's disease.,X
1331685,id175774,"We studied, by using the RNase protection technique, the expression of APP mRNAs in brains of Alzheimer's disease (AD) and other neurological disorders with special reference to aging.",X
1642473,id175775,"beta A4 amyloid deposition in the brain, which is characteristic of Alzheimer's disease (AD), may result from either overexpression of the amyloid protein precursor (APP) or failure of APP to be correctly processed.",A
1608449,id175776,Our results define a second processing pathway for beta APP and suggest that it may be responsible for generating amyloid-bearing fragments in Alzheimer's disease.,A
1924350,id175777,The age-dependent increase either in a mature APP isoform and/or in a putative amyloidogenic fragment could explain why Alzheimer disease is associated with advanced age.,Y
1791966,id175778,"The anatomic distributions of beta-amyloid peptide (beta AP) and beta-amyloid precursor protein (beta APP) in the medial temporal lobe were examined with immunocytochemistry in Alzheimer's disease. beta AP-containing plaques were found most frequently in the cortical and basal regions of the amygdala, and in the hippocampal CA1, subiculum, and dentate molecular layer. beta APP expression in plaques was found in a similar distribution, with some, but not all beta AP plaques also showing beta APP.",X
1922939,id175779,"To investigate the antigenic profile of preamyloid deposits, we have carried out an immunohistochemical study on specimens of cerebral cortex from 4 Alzheimer patients and two non-demented individuals, using antibodies to the beta-protein (anti-SP28), the C-terminal region of the amyloid precursor protein (APP) (anti-SP20) and an APP extracellular epitope between residues 50 and 100 (anti-preA4).",X
1709116,id175780,"Exogenous addition of a2M to the cultured neuronal cells resulted in only a slight inhibition of Alzheimer beta A4-amyloid precursor protein (APP) synthesis, but markedly inhibited its secretion pointing to the possibility that a2M may affect the proteolytic APP processing.",A
2400606,id175781,"The localization of the Alzheimer amyloid protein precursor (APP) gene on chromosome 21, along with its overexpression in Down's syndrome brain compared with normal brain, suggests that alterations in APP gene expression may play a role in the development of the neuropathology common to the two diseases.",A
2113597,id175782,"Polyclonal antibodies to synthetic peptides homologous to amino acid residues 45-62, 597-624, and 676-695 of the predicted sequence of Alzheimer's amyloid precursor protein (APP) were used to investigate the site of origin of APP, and the relationship between APP and amyloid protein in Alzheimer's disease (AD) and hereditary cerebral hemorrhage with amyloidosis, Dutch type (HCHWA-D).",X
18509662,id175783,"To clarify a pathological implication of AQP1 in Alzheimer disease (AD), we investigated the possible relationship between amyloid-beta (Abeta) deposition and astrocytic AQP1 expression in the motor cortex and hippocampus of 11 AD patients and 16 age-matched other neurological disease cases.",X
33068891,id175784,We examined whether single-nucleotide polymorphisms (SNPs) of the AQP4 gene were related to Aβ neuropathology on [18F]Florbetapir PET in 100 Aβ positive late mild cognitive impairment (LMCI) or Alzheimer's disease (AD) patients and were predictive of clinical outcome in prodromal AD patients.,X
10937543,id175785,To estimate the annual rate of change scores (ARC) on the Mini-Mental State Examination (MMSE) in Alzheimer's disease (AD) and to identify study or population characteristics that may affect the ARC estimation.,A
26782499,id175786,"In the present study, we examined whether the ARNTL (BMAL1) rs2278749 T/C polymorphism was associated with the susceptibility to Alzheimer disease (AD).",X
24847962,id175787,"In the present study, we investigated whether polymorphism of ARNTL2 (BMAL2) gene rs2306074 T/C was associated with susceptibility of Alzheimer disease (AD) in Chinese population.",X
25744625,id175788,Cortical surface-based analysis of ASL maps is technically feasible with a good image quality and may enable significant improvement in the detection of focal perfusion alterations in neurodegenerative disorders in the real-life clinical setting. • Arterial spin labelling is a promising sequence for assessing Alzheimer's disease. • Optimization of ASL brain perfusion image quality is crucial for image interpretation. • Cortical surface-based analysis may improve detection of perfusion alterations in a real-life clinical setting.,A
20413865,id175789,Key features of ASL technology that may affect studies in Alzheimer's disease are described.,A
22275354,id175790,"Cytoplasmic localization of ATF2 was observed in melanoma, brain tissue from patients with Alzheimer disease, prostate cancer specimens, and ionizing radiation-treated prostate cancer cells, suggesting that alteration of ATF2 subcellular localization may be involved in the pathogenesis of these diseases.",A
32048886,id175791,"In this review, we summarized the recent findings and mechanisms covering different kinds of organelle-specific autophagy, as well as their involvement in various diseases, aiming to arouse concern about the significance of the quality control of multiple organelles in the treatment of inflammatory diseases.Abbreviations: ABCD3: ATP binding cassette subfamily D member 3; AD: Alzheimer disease; ALS: amyotrophic lateral sclerosis; AMBRA1: autophagy and beclin 1 regulator 1; AMPK: AMP-activated protein kinase; ARIH1: ariadne RBR E3 ubiquitin protein ligase 1; ATF: activating transcription factor; ATG: autophagy related; ATM: ATM serine/threonine kinase; BCL2: BCL2 apoptosis regulator; BCL2L11/BIM: BCL2 like 11; BCL2L13: BCL2 like 13; BECN1: beclin 1; BNIP3: BCL2 interacting protein 3; BNIP3L/NIX: BCL2 interacting protein 3 like; CALCOCO2/NDP52: calcium binding and coiled-coil domain 2; CANX: calnexin; CAT: catalase; CCPG1: cell cycle progression 1; CHDH: choline dehydrogenase; COPD: chronic obstructive pulmonary disease; CSE: cigarette smoke exposure; CTSD: cathepsin D; DDIT3/CHOP: DNA-damage inducible transcript 3; DISC1: DISC1 scaffold protein; DNM1L/DRP1: dynamin 1 like; EIF2AK3/PERK: eukaryotic translation initiation factor 2 alpha kinase 3; EIF2S1/eIF2α: eukaryotic translation initiation factor 2 alpha kinase 3; EMD: emerin; EPAS1/HIF-2α: endothelial PAS domain protein 1; ER: endoplasmic reticulum; ERAD: ER-associated degradation; ERN1/IRE1α: endoplasmic reticulum to nucleus signaling 1; FBXO27: F-box protein 27; FKBP8: FKBP prolyl isomerase 8; FTD: frontotemporal dementia; FUNDC1: FUN14 domain containing 1; G3BP1: G3BP stress granule assembly factor 1; GBA: glucocerebrosidase beta; HIF1A/HIF1: hypoxia inducible factor 1 subunit alpha; IMM: inner mitochondrial membrane; LCLAT1/ALCAT1: lysocardiolipin acyltransferase 1; LGALS3/Gal3: galectin 3; LIR: LC3-interacting region; LMNA: lamin A/C; LMNB1: lamin B1; LPS: lipopolysaccharide; MAPK8/JNK: mitogen-activated protein kinase 8; MAMs: mitochondria-associated membranes; MAP1LC3B/LC3B: microtubule-associated protein 1 light chain 3 beta; MFN1: mitofusin 1; MOD: multiple organelles dysfunction; MTPAP: mitochondrial poly(A) polymerase; MUL1: mitochondrial E3 ubiquitin protein ligase 1; NBR1: NBR1 autophagy cargo receptor; NLRP3: NLR family pyrin domain containing 3; NUFIP1: nuclear FMR1 interacting protein 1; OMM: outer mitochondrial membrane; OPTN: optineurin; PD: Parkinson disease; PARL: presenilin associated rhomboid like; PEX3: peroxisomal biogenesis factor 3; PGAM5: PGAM family member 5; PHB2: prohibitin 2; PINK1: PTEN induced putative kinase 1; PRKN: parkin RBR E3 ubiquitin protein ligase; RB1CC1/FIP200: RB1 inducible coiled-coil 1; RETREG1/FAM134B: reticulophagy regulator 1; RHOT1/MIRO1: ras homolog family member T1; RIPK3/RIP3: receptor interacting serine/threonine kinase 3; ROS: reactive oxygen species; RTN3: reticulon 3; SEC62: SEC62 homolog, preprotein translocation factor; SESN2: sestrin2; SIAH1: siah E3 ubiquitin protein ligase 1; SNCA: synuclein alpha; SNCAIP: synuclein alpha interacting protein; SQSTM1/p62: sequestosome 1; STING1: stimulator of interferon response cGAMP interactor 1; TAX1BP1: Tax1 binding protein 1; TBK1: TANK binding kinase 1; TFEB: transcription factor EB; TICAM1/TRIF: toll-like receptor adaptor molecule 1; TIMM23: translocase of inner mitochondrial membrane 23; TNKS: tankyrase; TOMM: translocase of the outer mitochondrial membrane; TRIM: tripartite motif containing; UCP2: uncoupling protein 2; ULK1: unc-51 like autophagy activating kinase; UPR: unfolded protein response; USP10: ubiquitin specific peptidase 10; VCP/p97: valosin containing protein; VDAC: voltage dependent anion channels; XIAP: X-linked inhibitor of apoptosis; ZNHIT3: zinc finger HIT-type containing 3.",X
23830383,id175792,These experiments showed that a structural change of ATP7B may affect Alzheimers disease (AD) susceptibility.,A
31442405,id175793,"While ATXN1 is associated with increased Alzheimer's disease (AD) risk, CAG repeat number in AD patients is not changed.",Y
19229559,id175794,"In the present study, we assessed the SCA8 repeat size ranges in Taiwanese Parkinson's disease, Alzheimer's disease and atypical parkinsonism and investigated the genetic variation modulating ATXN8 expression.",X
3813496,id175795,We have examined AVP concentrations in postmortem brain tissue from 12 patients with histologically confirmed Alzheimer's disease and 13 control subjects.,X
4041817,id175796,"In order to investigate possible age-related changes in the human HNS, immunocytochemically identified AVP and OXT neurons in the paraventricular and supraoptic nucleus (PVN and SON) were analysed morphometrically in subjects from 10 to 93 years of age, including patients with senile dementia of the Alzheimer type (SDAT).",X
